Source,Year,Region,Species,avg_wt
R&I,1974,Kod,Chum,3.8692321238973006
R&I,1975,Kod,Chum,3.1246210391842255
R&I,1976,Kod,Chum,3.7242553614996203
R&I,1977,Kod,Chum,3.889453485677488
R&I,1978,Kod,Chum,3.7494292357035537
R&I,1979,Kod,Chum,3.5233910696630053
R&I,1980,Kod,Chum,3.305033285492396
R&I,1981,Kod,Chum,3.6179257320518756
R&I,1982,Kod,Chum,3.735469324977504
R&I,1983,Kod,Chum,3.6342632670032224
R&I,1984,Kod,Chum,3.582198531502168
R&I,1985,Kod,Chum,3.4052732045610874
R&I,1986,Kod,Chum,3.419746761343797
R&I,1987,Kod,Chum,3.280216126683764
R&I,1988,Kod,Chum,3.5980889918604615
R&I,1989,Kod,Chum,3.351780606565282
R&I,1990,Kod,Chum,3.4290148660295814
R&I,1991,Kod,Chum,3.0597839344028257
R&I,1992,Kod,Chum,3.064994776820159
R&I,1993,Kod,Chum,2.862573906051805
R&I,1994,Kod,Chum,3.344549884249392
R&I,1995,Kod,Chum,3.196625860914999
R&I,1996,Kod,Chum,3.686051144233246
R&I,1997,Kod,Chum,3.7587987132837624
R&I,1998,Kod,Chum,3.494020425338544
R&I,1999,Kod,Chum,3.5386024497723567
R&I,2000,Kod,Chum,3.605439391353693
R&I,2001,Kod,Chum,3.41277653005708
R&I,2002,Kod,Chum,3.6905715422841467
R&I,2003,Kod,Chum,2.908439687702653
R&I,2004,Kod,Chum,3.3035027746545285
R&I,2005,Kod,Chum,3.338957822199075
R&I,2006,Kod,Chum,3.3711415164381004
R&I,2007,Kod,Chum,3.0083700372067153
R&I,2008,Kod,Chum,3.3878505570115065
R&I,2009,Kod,Chum,3.246148852648019
R&I,2010,Kod,Chum,3.0384587401262846
R&I,2011,Kod,Chum,3.2217088905738707
R&I,2012,Kod,Chum,3.2026661046659943
R&I,2013,Kod,Chum,3.2664844731627753
R&I,2014,Kod,Chum,3.2855935276291075
R&I,2015,Kod,Chum,2.8028837067307775
R&I,1952,CI,Chum,3.506763531442994
R&I,1953,CI,Chum,3.506763531442995
R&I,1954,CI,Chum,3.5067635314429952
R&I,1955,CI,Chum,3.506763531442995
R&I,1956,CI,Chum,3.506763531442995
R&I,1957,CI,Chum,3.5067635314429944
R&I,1958,CI,Chum,3.506763531442994
R&I,1959,CI,Chum,3.5067635314429952
R&I,1960,CI,Chum,3.1058207188009095
R&I,1961,CI,Chum,3.5000282537880416
R&I,1962,CI,Chum,3.44258978460144
R&I,1963,CI,Chum,3.6751710816307424
R&I,1964,CI,Chum,3.790004672632125
R&I,1965,CI,Chum,3.452367504151961
R&I,1966,CI,Chum,3.432277813901494
