Year,Species,Number,Whole_Wt_ metric_tons,Region,Management Area,RI_Area
1996,Sockeye,3000602,8645.85,Central,E,PWS
1997,Chum,2227193,8693.35,Central,E,PWS
2002,Pink,5618069,8770.14,Southeastern,A,SEAK
2002,Sockeye,3101775,8871.3,Central,H,CI
1992,Sockeye,3445914,8873.18,Westward,M,SPen
2009,Chum,2923237,8881.95,Southeastern,D,SEAK
2007,Sockeye,3410482,8884.05,Westward,M,WAK
2001,Pink,5787782,8904.46,Southeastern,A,SEAK
2007,Pink,5592651,8997.52,Southeastern,A,SEAK
2014,Sockeye,3305481,9014.83,Central,E,PWS
2014,Chum,2048366,9016.19,Southeastern,B,SEAK
2007,Pink,5856474,9034.56,Southeastern,D,SEAK
2015,Pink,5253588,9054.57,Southeastern,C,SEAK
2003,Chum,2803695,9086.09,Southeastern,A,SEAK
1992,Sockeye,3578593,9115.88,Westward,M,WAK
1999,Sockeye,25660040,9130.64,Central,T,WAK
2009,Chum,2337378,9140.69,Southeastern,B,SEAK
2015,Pink,6436882,9187.71,Central,H,CI
1989,Pink,6825124,9238.89,Westward,K,Kod
1993,Chum,2662908,9257.37,Southeastern,B,SEAK
1993,Sockeye,3689074,9322.19,Westward,M,SPen
1999,Sockeye,3116527,9330.42,Westward,L,SPen
2013,Chum,2163849,9341.15,Southeastern,B,SEAK
2007,Sockeye,3231202,9343.27,Central,E,PWS
1991,Pink,8268302,9402,Southeastern,A,SEAK
1994,Sockeye,3706195,9479.38,Central,H,CI
2015,Chum,2974140,9513.73,Southeastern,D,SEAK
1999,Chum,2310828,9537.26,Southeastern,A,SEAK
2015,Chum,3120468,9604.59,Southeastern,A,SEAK
2003,Chum,3236673,9762.66,Southeastern,D,SEAK
2005,Chum,2591129,9788.61,Southeastern,D,SEAK
1997,Pink,5697832,9791.09,Southeastern,D,SEAK
2003,Sockeye,4053857,9858.73,Westward,K,Kod
2002,Chum,2428321,9859.02,Southeastern,D,SEAK
2011,Sockeye,3542007,9930.06,Central,E,PWS
2001,Chum,2689934,9940.09,Southeastern,D,SEAK
2004,Pink,6681447,9955.7,Westward,M,SPen
1994,Pink,7146473,9962.74,Southeastern,D,SEAK
2004,Sockeye,4169615,10007.88,Westward,K,Kod
2010,Chum,2795353,10015.4,Southeastern,D,SEAK
1993,Sockeye,3866593,10064.27,Westward,M,WAK
1999,Chum,2294615,10075.36,Southeastern,C,SEAK
2009,Pink,6879169,10084.82,Southeastern,A,SEAK
2012,Sockeye,3332508,10136.73,Central,H,CI
1993,Sockeye,4378941,10186.39,Westward,K,Kod
2004,Chum,2619200,10204.61,Southeastern,B,SEAK
2007,Sockeye,3693857,10246.94,Central,H,CI
1991,Pink,8747819,10269.75,Southeastern,C,SEAK
1989,Pink,6607011,10298.7,Southeastern,A,SEAK
2004,Chum,2891973,10307.88,Southeastern,A,SEAK
2010,Chum,2860635,10331.66,Southeastern,A,SEAK
1985,Pink,7094503,10356.33,Southeastern,D,SEAK
2003,Chum,2771247,10390.59,Southeastern,B,SEAK
1995,Sockeye,4488545,10402.06,Westward,K,Kod
2007,Pink,6580020,10478.06,Southeastern,C,SEAK
1993,Chum,3527887,10484.41,Southeastern,D,SEAK
2010,Pink,5877500,10526.13,Southeastern,C,SEAK
2001,Chum,3099796,10658.99,Central,E,PWS
2014,Chum,2598921,10723.1,Southeastern,A,SEAK
1992,Sockeye,4167877,10743.3,Westward,K,Kod
2002,Chum,2413758,10782.92,Southeastern,A,SEAK
2003,Sockeye,4137543,10816.12,Central,H,CI
1990,Sockeye,3819578,10882.69,Central,H,CI
2009,Chum,3222176,10979.09,Central,E,PWS
1985,Sockeye,4338826,10991.8,Central,H,CI
2003,Chum,3804895,11006.92,Central,E,PWS
2013,Pink,7802907,11037.27,Westward,M,SPen
1999,Chum,2960822,11069.22,Central,E,PWS
1999,Sockeye,4653057,11107.15,Westward,K,Kod
1985,Pink,8068192,11140.54,Southeastern,A,SEAK
2007,Chum,3579068,11248.55,Central,E,PWS
1997,Pink,6378258,11366.61,Southeastern,A,SEAK
2012,Sockeye,3700809,11379.83,Central,E,PWS
1988,Pink,7044824,11396.89,Westward,M,SPen
1993,Pink,8909350,11431.85,Southeastern,A,SEAK
2009,Chum,3656981,11486.3,Southeastern,A,SEAK
